Age,Gender,Region,Location,Education_Level,Employment_Status,Years_Of_Experience,Monthly_Income_NGN
53,Male,North West,Urban,,Employed,37.0,84220.84
43,Female,South West,Urban,Primary,Employed,24.0,69911.72
29,Female,South South,Rural,None,Underemployed,,31096.21
57,Female,South West,Rural,Primary,Employed,42.0,108994.91
22,Female,South South,Rural,None,Underemployed,5.0,31807.56
35,Male,South East,Urban,Secondary,Employed,17.0,
53,Female,North West,Urban,Primary,Underemployed,35.0,31198.39
33,Male,North West,Rural,None,Employed,18.0,152089.71
37,Male,North East,Urban,Primary,Employed,21.0,118601.56
25,Female,North West,Urban,Primary,Underemployed,10.0,38302.58
25,Female,South West,Urban,Secondary,Employed,9.0,126868.44
38,Male,South South,Rural,Primary,Underemployed,20.0,
50,Female,South East,Urban,None,Underemployed,35.0,13675.06
54,Female,North Central,Urban,,Underemployed,,48745.29
38,Male,North West,Rural,Primary,Employed,22.0,84045.33
17,Male,North East,Rural,Secondary,Underemployed,0.0,40748.73
36,Male,North Central,Urban,Tertiary,Unemployed,13.0,
16,Male,North East,Rural,None,Underemployed,0.0,32210.97
38,Male,North West,Urban,Secondary,Employed,22.0,139814.51
58,Male,North Central,Urban,Primary,Underemployed,42.0,36091.76
44,Male,North East,Rural,None,Underemployed,26.0,
52,Female,South South,Urban,None,Underemployed,,43506.63
16,Female,North West,Urban,Tertiary,Unemployed,0.0,0.0
35,Female,North West,Rural,Primary,Underemployed,17.0,22701.6
47,Male,North West,Rural,Tertiary,Employed,25.0,
26,Female,North East,Urban,,Underemployed,9.0,44238.64
36,Female,South West,Urban,Primary,Underemployed,20.0,28762.42
58,Female,South West,Urban,Secondary,Employed,42.0,80616.39
39,Male,North Central,Urban,Tertiary,Employed,18.0,73811.72
63,Female,South West,Urban,Tertiary,Underemployed,43.0,79242.52
41,Male,North East,Urban,Secondary,Employed,24.0,85584.65
56,Male,South West,Rural,Primary,Employed,39.0,127834.41
42,Female,North West,Urban,,Underemployed,,27470.3
30,Female,North East,Urban,Primary,Underemployed,13.0,32777.31
29,Male,South East,Urban,Secondary,Underemployed,,70512.89
61,Female,South East,Urban,Tertiary,Employed,41.0,83161.72
58,Female,South West,Rural,Secondary,Employed,42.0,93913.77
17,Male,North West,Urban,Tertiary,Unemployed,0.0,0.0
51,Female,North West,Rural,Primary,Underemployed,33.0,31627.95
21,Male,South South,Rural,Secondary,Employed,2.0,131250.89
35,Female,North West,Rural,Tertiary,Underemployed,12.0,106483.94
23,Female,North West,Urban,Secondary,Underemployed,8.0,63007.3
53,Male,North West,Rural,Secondary,Employed,,123489.61
32,Female,,Urban,Secondary,Employed,14.0,130922.57
18,Female,North West,Urban,Secondary,Employed,,131918.73
39,Female,North Central,Urban,Tertiary,Employed,18.0,83862.94
28,Female,North Central,Urban,Secondary,Employed,9.0,114370.48
64,Female,South South,Urban,Primary,Underemployed,45.0,32236.26
23,Female,North West,Urban,Secondary,Unemployed,5.0,0.0
40,Female,North East,Urban,,Underemployed,23.0,34126.96
16,Female,South West,Rural,Secondary,Employed,0.0,86722.92
34,Male,South West,Urban,None,Underemployed,15.0,18580.82
42,Female,,Rural,Tertiary,Unemployed,18.0,0.0
61,Male,South East,Rural,Tertiary,Unemployed,40.0,0.0
21,Female,North West,Urban,Primary,Underemployed,4.0,27889.21
58,Female,South East,Rural,,Underemployed,,47706.29
22,Female,North Central,Rural,Secondary,Underemployed,3.0,37711.29
61,Female,North West,Urban,Secondary,Employed,42.0,162261.42
49,Female,South South,Urban,Primary,Underemployed,,44262.66
28,Male,South West,Rural,None,Underemployed,10.0,30409.2
31,Female,North West,Rural,Secondary,Underemployed,15.0,39802.28
50,Male,North West,Rural,,Employed,31.0,138461.5
64,Male,North West,Urban,Primary,Employed,46.0,105849.71
54,Male,South West,Rural,,Underemployed,38.0,37113.44
18,Female,,Urban,Tertiary,Employed,0.0,120353.87
16,Female,North West,Urban,None,Underemployed,,34082.22
20,Female,North West,Urban,Secondary,Underemployed,5.0,64001.61
56,Male,South West,Urban,None,Underemployed,37.0,27094.89
18,Male,South East,Rural,Primary,Employed,0.0,97925.99
43,Male,South East,Rural,None,Employed,24.0,120059.16
32,Male,North West,Rural,Secondary,Unemployed,17.0,0.0
40,Female,South South,Urban,Tertiary,Unemployed,16.0,0.0
58,Male,South West,Rural,Secondary,Underemployed,40.0,47412.7
48,Male,South South,Rural,Primary,Underemployed,31.0,27306.06
24,Male,North Central,Urban,None,Underemployed,6.0,23201.93
50,Male,,Rural,Secondary,Employed,34.0,92183.35
28,Male,South East,Rural,,Underemployed,10.0,54019.94
45,Male,North West,Rural,Primary,Employed,29.0,94113.95
62,Female,North Central,Urban,Secondary,Employed,43.0,169142.1
29,Female,South East,Rural,Tertiary,Unemployed,8.0,0.0
22,Female,South East,Rural,None,Underemployed,3.0,45155.94
28,Female,South South,Urban,Secondary,Underemployed,12.0,47246.27
